id,questions,answer,source
1,依據食安法規定，應設置實驗室之食品業者，其資本額規模門檻為何？,必須是辦理工廠登記且資本額在新臺幣一億元以上者。,2.pdf
2,未登記工廠申請納管的截止日期是哪一天？,納管申請日期至109年3月20日至111年3月19日止。,3.pdf
3,新修正之不動產說明書應記載及不得記載事項，生效日期為何？,自中華民國104年10月1日生效。,4.jpg
4,在屏東大學公文系統中，若無法開啟公文製作，應檢查電腦中哪個資料夾是否存在？,應檢查是否有 C:\Program Files\DigitWare 資料夾。,5.docx
5,進行注射劑目視檢查時，檢查點的最低照明亮度應維持在多少範圍？,應維持 2000~3750 勒克司 (Lux)。,1.pdf
6,上市、上櫃食品業者若未依規定設置實驗室，將面臨多少罰鍰？,處新臺幣3萬元以上300萬元以下罰鍰。,2.pdf
7,納管輔導金的計算方式中，廠地面積在300平方公尺以內應繳交多少金額？,2萬元。,3.pdf
8,不動產經紀人在不動產說明書上的簽章方式有何限制？,須以「簽名」或「蓋章」擇一為之，不得以電腦列印方式替代。,4.jpg
9,在公文系統中，若要進行「內會」（單位內相互會辦），且對象為不同組/系的單位，應如何處理？,應先陳核單位主管後，再走內會流程。,5.docx
10,依據中華藥典，檢查注射劑時在每個背景下應進行大約幾秒的檢查？,每個背景下進行大約五秒檢查。,1.pdf
11,依據規定，「上市、上櫃之食品業者」的定義中，其餐飲收入佔比需達多少？,屬食品工業及餐飲收入占其全部營業收入之比率達百分之五十以上者。,2.pdf
12,汽車修理業或倉庫是否可以辦理未登記工廠納管？,不行，兩者皆非屬工廠管理輔導法範疇。,3.pdf
13,不動產說明書是否必須指派不動產經紀人簽章？其目的為何？,是，簽章可使經紀人對內容履行注意及查證義務，並對記載事項負責。,4.jpg
14,在公文系統中，若想將公文存成可被 Word 開啟的檔案，應選擇哪種檔案格式？,RTF 檔案。,5.docx
15,關於注射劑檢查，何謂「內在」或「固有」粒子？,來自製程內（如操作設備、包裝材料、密封墊圈等）或與產品配方組成有關的粒子。,1.pdf
16,若食品業者已自設實驗室，是否可以將檢驗工作委外？,業者須優先自設實驗室檢驗，若評估後無法自行檢驗的項目才可委外，但不能全數取代自主檢驗。,2.pdf
17,申請特定工廠登記時，若要提出用電證明，須為哪個日期之前的證明文件？,105年5月19日前。,3.pdf
18,屏東大學公文系統建議將哪個 IP網段加入 IE 的信任網站以避免登入問題？,120.118.118.*,5.docx
19,進行注射劑檢查時，應使用哪兩種顏色的背景？,黑色背景和白色背景。,1.pdf
20,若食品業者的產品檢出不合格，依食安法規定應採取什麼行動？,應即主動停止製造、加工、販賣及辦理回收，並通報直轄市、縣(市)主管機關。,2.pdf
